h,s,v,value
15,44,204,0
16,45,209,0
15,43,207,0
15,44,204,0
15,46,196,0
15,42,199,0
15,42,202,0
15,39,201,0
13,40,202,0
13,37,202,0
12,38,202,0
11,35,199,0
11,27,196,0
12,27,209,0
12,28,197,0
10,33,196,0
11,35,202,0
8,39,205,0
9,42,206,0
7,44,211,0
10,43,213,0
10,44,211,0
12,44,210,0
12,44,207,0
12,45,204,0
12,45,205,0
12,44,208,0
11,45,211,0
12,44,209,0
13,41,206,0
13,41,206,0
13,42,202,0
13,42,201,0
13,41,206,0
13,41,205,0
13,42,201,0
13,42,200,0
13,41,203,0
13,42,201,0
13,42,200,0
13,41,203,0
13,41,205,0
13,41,205,0
13,41,204,0
13,41,205,0
11,38,208,0
11,38,207,0
11,39,205,0
11,39,205,0
11,38,206,0
11,38,206,0
11,38,206,0
13,41,206,0
11,38,207,0
13,41,207,0
11,39,204,0
13,42,200,0
11,40,199,0
13,42,202,0
11,39,205,0
13,41,206,0
13,42,199,0
13,42,198,0
13,42,200,0
13,41,204,0
13,41,207,0
13,40,208,0
13,40,209,0
13,41,210,0
13,41,203,0
13,44,199,0
13,44,196,0
13,44,198,0
13,44,198,0
13,44,196,0
13,44,197,0
14,46,200,0
12,44,209,0
13,47,208,0
12,45,206,0
13,47,205,0
12,45,204,0
13,48,204,0
12,45,205,0
13,47,205,0
11,46,206,0
12,49,205,0
11,46,207,0
12,47,210,0
11,45,209,0
12,49,205,0
11,46,204,0
13,47,206,0
13,47,208,0
16,47,205,0
16,48,203,0
16,48,202,0
16,48,204,0
17,49,207,0
16,47,207,0
16,48,204,0
16,49,198,0
14,46,201,0
14,45,204,0
15,41,203,0
13,43,203,0
13,40,202,0
13,42,201,0
12,39,198,0
12,30,198,0
12,27,209,0
12,28,198,0
10,32,197,0
11,36,201,0
8,39,203,0
9,43,204,0
9,41,209,0
10,43,214,0
10,43,214,0
12,43,213,0
12,44,210,0
12,45,205,0
12,45,203,0
12,45,204,0
11,46,205,0
12,45,203,0
11,43,207,0
13,41,207,0
13,41,206,0
13,41,206,0
13,40,209,0
13,41,206,0
13,42,200,0
13,42,199,0
13,42,201,0
13,42,200,0
13,42,201,0
13,41,204,0
13,41,205,0
13,41,204,0
13,41,203,0
13,41,204,0
11,38,207,0
11,38,208,0
11,38,208,0
11,39,205,0
11,39,202,0
13,42,201,0
13,41,206,0
13,40,210,0
13,40,208,0
13,40,209,0
13,41,207,0
13,41,203,0
13,42,201,0
13,43,202,0
13,41,203,0
13,43,203,0
13,43,202,0
13,44,199,0
13,44,198,0
13,43,203,0
13,42,207,0
13,42,207,0
13,42,207,0
13,42,207,0
13,42,208,0
14,45,203,0
14,46,200,0
14,45,202,0
14,45,202,0
14,46,199,0
14,46,199,0
14,46,201,0
14,44,207,0
13,46,209,0
13,47,208,0
13,47,207,0
13,47,206,0
13,47,205,0
13,48,203,0
13,48,203,0
13,47,206,0
12,49,205,0
12,48,206,0
12,48,209,0
12,48,207,0
12,49,204,0
12,48,206,0
12,47,210,0
14,48,211,0
14,48,211,0
16,47,206,0
16,48,202,0
17,51,201,0
17,50,202,0
17,50,202,0
17,51,200,0
16,48,201,0
16,48,203,0
14,45,204,0
14,45,203,0
13,43,202,0
13,43,202,0
13,42,201,0
12,38,199,0
10,32,201,0
14,23,207,0
14,25,194,0
10,29,195,0
10,32,202,0
9,36,203,0
10,41,207,0
10,40,210,0
11,43,208,0
11,42,211,0
11,42,211,0
11,43,209,0
13,41,203,0
13,42,202,0
13,41,204,0
11,43,208,0
11,43,207,0
12,43,215,0
12,43,213,0
12,44,211,0
12,44,209,0
12,44,209,0
12,44,208,0
12,44,207,0
12,45,205,0
12,45,206,0
12,45,203,0
12,45,204,0
12,44,208,0
12,44,207,0
12,45,202,0
12,45,202,0
12,45,206,0
11,43,209,0
11,43,206,0
11,44,204,0
11,44,205,0
11,43,206,0
11,44,205,0
11,44,204,0
12,45,205,0
12,45,206,0
12,44,210,0
12,43,212,0
12,44,209,0
12,45,206,0
13,47,205,0
12,45,206,0
13,47,206,0
13,48,204,0
13,48,204,0
13,48,204,0
13,47,206,0
13,46,209,0
13,46,210,0
13,47,208,0
13,47,206,0
13,47,208,0
14,49,209,0
14,49,207,0
14,50,204,0
14,50,203,0
14,50,203,0
14,50,203,0
16,48,200,0
16,47,205,0
16,47,205,0
16,47,205,0
16,47,206,0
16,47,208,0
16,47,208,0
16,47,205,0
16,48,203,0
16,48,204,0
14,49,208,0
