h,s,v,value
7,43,212,1
7,44,211,1
7,44,211,1
7,44,211,1
9,41,213,1
10,40,210,1
10,40,209,1
10,40,210,1
10,40,210,1
10,40,208,1
10,40,208,1
10,40,208,1
10,40,209,1
10,40,210,1
10,40,209,1
10,40,208,1
10,40,208,1
10,40,210,1
10,40,211,1
10,43,212,1
10,47,213,1
11,49,214,1
11,45,212,1
11,43,210,1
10,40,209,1
10,40,209,1
11,43,208,1
11,43,209,1
11,45,211,1
11,45,212,1
11,45,212,1
11,45,212,1
10,40,211,1
11,34,207,1
10,31,206,1
10,28,204,1
9,24,203,1
8,19,203,1
13,30,210,1
13,31,204,1
13,37,201,1
12,38,200,1
13,42,201,1
12,45,202,1
12,45,202,1
13,48,203,1
13,48,202,1
16,48,201,1
16,48,201,1
16,48,202,1
13,48,204,1
12,49,205,1
12,49,204,1
12,49,204,1
12,45,203,1
12,45,203,1
12,45,203,1
12,45,203,1
12,45,202,1
12,46,201,1
12,45,202,1
12,45,203,1
12,45,205,1
12,45,206,1
12,44,207,1
12,44,207,1
12,44,207,1
12,44,207,1
12,44,207,1
12,44,207,1
11,45,209,1
11,45,208,1
11,45,208,1
11,45,209,1
11,45,210,1
11,45,210,1
11,45,210,1
11,45,210,1
11,45,208,1
11,45,210,1
11,45,212,1
11,44,213,1
11,45,212,1
11,45,212,1
11,45,211,1
11,45,211,1
9,46,211,1
9,46,211,1
9,46,212,1
9,45,214,1
9,45,214,1
9,46,211,1
9,46,209,1
9,46,209,1
9,46,210,1
9,46,210,1
9,46,211,1
9,46,211,1
9,46,211,1
9,46,211,1
9,46,211,1
9,46,211,1
10,43,212,1
10,44,210,1
10,44,210,1
10,43,212,1
10,43,212,1
10,44,211,1
10,44,211,1
10,44,211,1
10,44,211,1
10,44,211,1
10,44,210,1
10,44,209,1
10,44,209,1
10,44,211,1
10,43,212,1
10,43,212,1
10,47,212,1
11,49,212,1
11,45,211,1
11,45,211,1
11,43,209,1
11,43,208,1
10,44,209,1
10,44,210,1
10,46,214,1
10,46,214,1
10,46,214,1
11,45,212,1
10,40,211,1
11,34,207,1
10,31,206,1
10,28,203,1
9,24,202,1
11,21,203,1
12,28,210,1
13,31,205,1
11,34,202,1
12,38,200,1
13,42,200,1
12,46,201,1
11,46,203,1
13,48,203,1
13,48,203,1
14,50,203,1
16,48,202,1
16,48,203,1
13,48,204,1
12,49,205,1
11,51,206,1
11,46,203,1
11,46,205,1
12,45,206,1
12,45,206,1
12,45,205,1
12,45,203,1
12,45,202,1
12,45,203,1
12,45,204,1
12,45,205,1
12,45,206,1
12,44,207,1
12,44,207,1
12,45,206,1
12,45,205,1
12,45,205,1
12,45,205,1
11,46,206,1
11,45,208,1
11,45,210,1
11,45,212,1
11,45,212,1
11,45,211,1
11,45,210,1
11,45,210,1
11,46,207,1
11,45,209,1
11,45,211,1
11,44,213,1
11,45,212,1
11,45,211,1
11,45,210,1
11,45,210,1
9,45,213,1
9,46,212,1
9,46,212,1
9,45,213,1
9,46,212,1
9,46,210,1
9,47,208,1
9,47,208,1
9,46,209,1
9,46,210,1
9,46,210,1
9,46,209,1
9,46,209,1
9,46,209,1
9,46,210,1
9,46,211,1
10,45,206,1
10,45,205,1
10,45,206,1
10,44,208,1
10,44,210,1
10,44,210,1
10,44,210,1
10,44,210,1
10,44,211,1
10,43,212,1
10,44,210,1
10,44,208,1
10,44,208,1
10,44,210,1
10,43,212,1
10,44,211,1
9,48,211,1
10,47,211,1
10,47,212,1
10,44,210,1
11,43,209,1
11,43,208,1
10,44,210,1
10,44,210,1
9,45,214,1
10,46,214,1
10,46,214,1
10,43,212,1
10,40,210,1
9,36,207,1
8,32,205,1
10,28,201,1
9,24,203,1
11,21,203,1
11,26,210,1
12,28,204,1
12,29,199,1
11,35,199,1
13,42,201,1
13,43,200,1
12,45,202,1
13,48,202,1
13,48,203,1
14,46,201,1
14,45,202,1
14,45,202,1
12,45,204,1
12,45,204,1
11,46,206,1
11,46,206,1
11,46,207,1
