h,s,v,value
7,164,160,5
6,164,162,5
6,169,164,5
6,167,166,5
7,171,166,5
7,173,167,5
7,171,167,5
8,170,165,5
8,171,163,5
7,170,144,5
7,163,150,5
7,165,153,5
7,165,155,5
7,164,160,5
6,164,162,5
6,169,164,5
6,167,166,5
7,171,166,5
7,168,168,5
7,170,168,5
8,169,166,5
8,169,164,5
7,170,144,5
6,164,151,5
7,166,154,5
7,166,154,5
6,166,160,5
6,165,161,5
6,169,164,5
6,167,166,5
7,168,168,5
7,167,168,5
8,168,167,5
8,167,166,5
8,167,163,5
7,174,145,5
7,168,150,5
7,167,153,5
7,166,154,5
6,167,159,5
6,166,160,5
6,171,163,5
6,168,165,5
7,170,165,5
7,168,167,5
8,166,166,5
8,165,165,5
8,168,162,5
7,174,145,5
7,168,150,5
7,167,153,5
7,167,153,5
7,166,158,5
6,166,160,5
6,167,163,5
6,168,165,5
7,172,163,5
7,170,165,5
8,167,165,5
8,169,164,5
8,168,162,5
8,175,144,5
8,169,149,5
7,168,152,5
7,166,155,5
6,164,159,5
6,166,160,5
6,167,163,5
6,167,166,5
7,168,168,5
7,172,166,5
8,170,165,5
8,170,165,5
9,168,164,5
8,180,143,5
8,175,147,5
7,169,151,5
7,168,153,5
6,165,158,5
6,165,159,5
6,168,162,5
6,169,164,5
7,169,167,5
7,173,165,5
8,174,166,5
8,170,165,5
8,170,165,5
8,181,142,5
8,175,147,5
7,170,150,5
7,168,153,5
6,165,158,5
6,166,158,5
6,169,161,5
6,169,164,5
7,171,166,5
7,174,164,5
8,175,165,5
8,171,164,5
8,170,165,5
8,179,144,5
8,174,148,5
7,169,151,5
7,167,154,5
6,164,159,5
6,165,159,5
6,168,162,5
6,168,165,5
7,171,166,5
7,173,165,5
8,174,166,5
8,170,165,5
8,170,165,5
8,178,145,5
8,173,149,5
7,167,153,5
7,166,155,5
6,163,160,5
6,164,160,5
6,167,163,5
6,168,165,5
7,169,167,5
7,173,165,5
8,173,167,5
8,169,166,5
8,168,167,5
7,151,194,5
7,150,195,5
7,150,195,5
8,154,194,5
8,155,196,5
8,157,197,5
8,159,197,5
8,160,196,5
9,160,198,5
9,160,198,5
9,159,196,5
9,160,195,5
9,159,194,5
9,160,193,5
9,161,192,5
9,161,192,5
9,157,197,5
9,156,198,5
9,156,198,5
9,155,199,5
9,155,199,5
9,155,199,5
9,156,198,5
9,156,198,5
9,157,197,5
9,157,197,5
9,157,196,5
9,157,196,5
9,157,197,5
9,156,198,5
9,155,199,5
9,155,199,5
8,151,198,5
8,151,198,5
8,151,197,5
8,151,197,5
7,152,193,5
7,150,195,5
7,150,195,5
8,153,195,5
8,152,199,5
8,153,201,5
8,156,201,5
8,156,201,5
9,160,198,5
9,160,198,5
9,159,196,5
9,159,196,5
9,158,195,5
9,159,194,5
9,159,194,5
9,160,193,5
9,157,196,5
9,157,196,5
9,157,197,5
9,157,197,5
9,156,198,5
9,155,199,5
9,154,200,5
9,153,201,5
9,154,200,5
9,155,199,5
9,155,199,5
9,155,199,5
9,153,201,5
9,153,202,5
9,152,203,5
9,152,203,5
8,151,201,5
8,151,201,5
8,149,200,5
8,152,199,5
7,153,192,5
7,152,193,5
7,151,194,5
8,155,193,5
8,155,196,5
8,157,197,5
8,159,197,5
8,159,197,5
9,161,197,5
9,161,197,5
9,159,196,5
9,159,196,5
9,158,195,5
9,158,195,5
9,158,195,5
9,159,194,5
9,159,194,5
9,159,194,5
9,159,194,5
9,158,195,5
9,157,196,5
9,156,198,5
9,155,199,5
9,154,200,5
9,156,198,5
9,157,197,5
9,157,197,5
9,156,198,5
9,155,199,5
9,154,200,5
9,154,200,5
9,155,199,5
9,153,201,5
9,153,201,5
8,151,201,5
9,154,200,5
7,150,195,5
7,150,196,5
7,150,196,5
8,153,195,5
8,157,197,5
8,156,198,5
8,158,198,5
8,159,197,5
9,161,197,5
9,161,197,5
9,160,195,5
9,160,195,5
9,159,194,5
9,159,194,5
9,159,194,5
9,159,194,5
9,158,195,5
9,158,195,5
9,158,195,5
9,158,195,5
9,158,195,5
9,157,196,5
9,157,197,5
9,156,198,5
9,155,199,5
9,155,199,5
9,155,199,5
9,155,199,5
9,154,200,5
9,154,200,5
9,155,199,5
9,155,199,5
9,154,200,5
9,154,200,5
9,154,200,5
9,153,201,5
7,151,194,5
7,150,196,5
8,152,196,5
8,152,196,5
8,156,198,5
8,154,200,5
8,157,200,5
8,158,199,5
8,158,198,5
8,158,198,5
9,160,195,5
9,160,195,5
9,159,194,5
9,159,194,5
9,159,194,5
9,160,193,5
9,157,197,5
9,157,197,5
9,156,198,5
9,156,198,5
9,156,198,5
9,156,198,5
9,156,198,5
9,157,197,5
9,157,197,5
9,157,197,5
9,156,198,5
9,155,199,5
9,154,200,5
9,154,200,5
9,155,199,5
9,156,198,5
9,156,200,5
9,156,200,5
9,155,201,5
9,155,201,5
7,150,195,5
7,150,196,5
8,152,196,5
8,153,195,5
8,157,197,5
8,156,198,5
8,158,199,5
8,158,198,5
8,158,199,5
8,158,199,5
9,159,196,5
9,159,196,5
9,158,195,5
9,159,194,5
9,159,194,5
9,159,194,5
9,157,196,5
9,157,197,5
9,156,198,5
9,155,199,5
9,155,199,5
9,155,199,5
9,156,198,5
9,156,198,5
9,159,194,5
9,159,194,5
9,158,195,5
9,157,197,5
9,155,199,5
9,155,199,5
9,155,199,5
9,155,199,5
9,156,199,5
9,156,200,5
9,156,200,5
9,156,200,5
7,148,198,5
7,147,199,5
8,150,199,5
8,151,198,5
8,153,198,5
8,152,199,5
9,155,199,5
9,156,198,5
9,157,196,5
9,157,196,5
9,157,196,5
9,157,196,5
9,157,196,5
9,157,196,5
9,157,195,5
9,157,195,5
9,157,196,5
9,157,196,5
9,157,197,5
9,157,197,5
9,157,197,5
9,157,197,5
9,157,197,5
9,157,197,5
9,156,198,5
9,156,198,5
9,155,199,5
9,154,200,5
9,153,201,5
9,153,202,5
9,153,202,5
9,153,202,5
9,156,199,5
9,156,199,5
9,156,199,5
9,156,199,5
7,153,192,5
7,151,194,5
8,154,194,5
8,153,195,5
8,155,196,5
8,153,198,5
9,155,199,5
9,156,198,5
9,158,195,5
9,158,195,5
9,158,195,5
9,158,195,5
9,158,195,5
9,157,196,5
9,157,195,5
9,156,196,5
9,155,199,5
9,156,198,5
9,156,198,5
9,157,197,5
9,157,197,5
9,157,197,5
9,156,198,5
9,156,198,5
9,155,199,5
9,156,198,5
9,156,198,5
9,156,198,5
9,155,199,5
9,155,199,5
9,155,199,5
9,156,198,5
9,154,200,5
9,156,200,5
9,153,201,5
9,154,202,5
8,157,193,5
8,156,195,5
8,152,199,5
