h,s,v,value
14,79,210,0.5
14,79,210,0.5
14,79,209,0.5
14,79,209,0.5
14,79,209,0.5
14,79,209,0.5
14,79,209,0.5
14,76,208,0.5
14,76,208,0.5
14,76,209,0.5
14,76,209,0.5
14,76,208,0.5
14,76,208,0.5
14,76,208,0.5
14,76,208,0.5
13,74,210,0.5
13,74,209,0.5
13,75,208,0.5
13,75,208,0.5
13,75,207,0.5
13,75,207,0.5
13,75,207,0.5
13,75,208,0.5
13,76,205,0.5
13,76,206,0.5
13,76,205,0.5
13,76,204,0.5
13,76,206,0.5
13,74,210,0.5
13,74,210,0.5
13,75,208,0.5
14,73,205,0.5
14,72,208,0.5
14,72,210,0.5
14,72,208,0.5
14,72,205,0.5
14,72,206,0.5
14,71,207,0.5
14,71,208,0.5
14,71,207,0.5
14,71,208,0.5
14,71,207,0.5
14,73,203,0.5
14,73,203,0.5
14,72,206,0.5
14,71,207,0.5
14,72,206,0.5
14,73,202,0.5
14,73,203,0.5
14,73,207,0.5
14,73,207,0.5
14,74,204,0.5
14,73,206,0.5
14,69,208,0.5
13,67,205,0.5
12,65,205,0.5
13,63,204,0.5
13,61,206,0.5
12,57,206,0.5
11,48,220,0.5
12,52,211,0.5
11,59,204,0.5
12,65,204,0.5
12,70,209,0.5
12,72,212,0.5
11,73,213,0.5
13,75,211,0.5
12,73,211,0.5
13,72,209,0.5
12,70,209,0.5
12,69,211,0.5
11,70,212,0.5
11,70,211,0.5
11,73,212,0.5
12,72,212,0.5
13,74,213,0.5
13,74,213,0.5
13,77,210,0.5
13,78,207,0.5
13,78,207,0.5
13,77,209,0.5
13,77,210,0.5
13,77,209,0.5
13,81,209,0.5
13,79,212,0.5
13,79,212,0.5
13,80,210,0.5
13,80,211,0.5
14,81,214,0.5
13,78,215,0.5
14,82,212,0.5
14,82,209,0.5
14,82,209,0.5
14,82,209,0.5
14,82,209,0.5
14,82,209,0.5
14,82,209,0.5
14,79,209,0.5
14,79,209,0.5
14,80,208,0.5
14,79,209,0.5
13,77,210,0.5
13,77,209,0.5
13,77,209,0.5
13,77,209,0.5
13,77,210,0.5
13,76,211,0.5
13,74,209,0.5
13,74,209,0.5
13,74,209,0.5
13,75,208,0.5
13,75,208,0.5
13,75,208,0.5
13,74,209,0.5
13,75,208,0.5
13,75,207,0.5
13,75,207,0.5
13,76,205,0.5
13,76,205,0.5
13,75,207,0.5
13,75,208,0.5
13,75,208,0.5
13,76,206,0.5
13,76,205,0.5
13,75,208,0.5
14,72,208,0.5
14,73,206,0.5
14,74,204,0.5
14,73,205,0.5
14,73,207,0.5
14,72,208,0.5
14,72,206,0.5
14,71,207,0.5
14,72,206,0.5
14,73,202,0.5
14,73,202,0.5
14,72,206,0.5
16,70,205,0.5
14,72,206,0.5
14,74,201,0.5
14,74,203,0.5
14,73,207,0.5
14,73,207,0.5
14,74,204,0.5
14,73,206,0.5
13,70,208,0.5
14,70,204,0.5
13,67,205,0.5
13,62,205,0.5
13,61,206,0.5
13,60,208,0.5
11,48,220,0.5
12,52,211,0.5
11,59,204,0.5
12,65,203,0.5
12,70,209,0.5
13,75,212,0.5
12,75,213,0.5
13,75,211,0.5
12,73,211,0.5
13,72,209,0.5
12,70,209,0.5
12,69,212,0.5
12,69,212,0.5
12,73,211,0.5
12,73,211,0.5
12,72,212,0.5
13,74,214,0.5
13,73,212,0.5
13,75,210,0.5
13,78,206,0.5
13,78,206,0.5
13,77,209,0.5
13,77,209,0.5
13,77,208,0.5
13,78,207,0.5
14,79,210,0.5
13,80,211,0.5
14,80,208,0.5
13,80,211,0.5
14,80,214,0.5
14,81,215,0.5
14,81,211,0.5
14,82,209,0.5
15,81,208,0.5
14,82,209,0.5
15,81,208,0.5
14,82,209,0.5
15,78,208,0.5
14,79,209,0.5
14,79,209,0.5
14,80,208,0.5
13,77,209,0.5
13,77,210,0.5
13,77,209,0.5
13,77,209,0.5
13,77,209,0.5
13,76,211,0.5
13,73,212,0.5
13,75,208,0.5
13,74,209,0.5
13,74,210,0.5
13,74,210,0.5
13,74,211,0.5
13,74,211,0.5
13,74,211,0.5
13,74,211,0.5
13,73,214,0.5
13,73,212,0.5
13,74,210,0.5
13,74,211,0.5
13,74,211,0.5
13,74,209,0.5
13,75,207,0.5
13,76,206,0.5
13,76,204,0.5
13,75,208,0.5
14,72,208,0.5
14,73,206,0.5
14,73,205,0.5
14,73,206,0.5
14,72,208,0.5
14,72,209,0.5
14,72,206,0.5
14,71,208,0.5
14,72,206,0.5
14,73,202,0.5
14,73,202,0.5
14,72,206,0.5
16,69,206,0.5
14,72,206,0.5
14,74,202,0.5
14,74,203,0.5
14,73,206,0.5
14,73,206,0.5
14,74,203,0.5
14,73,205,0.5
13,70,207,0.5
13,71,204,0.5
